src_content,dst_content,src_content_len
야키니꾸의 원조 호박 식당은 매일 매장에서 직접 만든 과일 양념에 신선한 소고기로 버무려 야들야들한 식감과 풍부한 육즙과 육량을 유지 시킵니다 . 육질이 살아있는 식감과 산뜻한 득제 과일 양념의 맛을 그대로 느낌 실 수 있도록 원조의 방법 그대로를 고집 합니다 .,"HOBAK RESTAURANT serves the original yakiniku, maintaining the tenderness of the beef and its rich juice and texture by marinating fresh beef with fruit marinade made in house every day. We stick to the original recipe to bring you the full texture of the meat and the brimming taste of our special homemade fruit marinade.",147
"인기품목 12가지로 구성된 금박 전통 문양이 고급스러운 매화 세트입니다 ( 땅콩 와다닥 , 아몬드 와다닥, 피칸이와다닥 , 코코넛 와다닥 , 깨기둥 , 검은깨강정 , 아몬드튀일 , 해바라기씨 튀일 , 코코넛 튀일 , 검은깨 튀일 , 헤이즐넛 튀일 , 땅콩달콩 )","A luxury gift set composed of 12 popular crispy wafers with traditional gold leaf patterns. ( Wadadak Peanut , Almond Wadadak , Wadadak Pecan , Wadadak Coconut , Wadadak Sesame Seeds , Black Sesame Seeds , Almond Tuile , Sunflower Seed Tuile , Coconut Tuile , Black Sesame Tuile , Hazelnut Tuile , Sweet Peanut )",146
"한우 , 와인 , 담소라는 타이틀을 가지고 꾸준히 사랑받는 브랜드 한와담 . 그 한와담에서 가장 사랑 받는 음식만을 선정하여 정갈한 한상에 담아낸 한와담 소반입니다 . 소반은 작을 '小' 소반 ;盤' 작은 상이란 뜻으로 정갈한 한 상을 내는 한식 전문점입니다 .","Under the title of Hanwoo(Korean Beef) , Wine, and Damso(conversations), HANWADAM is a constantly coveted brand by customers. HANWADAM SOBAN has selected the most loved menus of HANWADAM and serve them in one table. SOBAN means 'Small' (SO, 小) and 'Table' (BAN, 盤), meaning a small table. We are a Korean Cuisine specialty restaurant, dedicated to serving nicely presented food.",146
"엘디비소 시드라 내추럴은 36시간 산화작용을 거친 커피 체리들을 48시간동안 무산소 발효를 진행 후 이 전 발효에서 자연적으로 얻어진 미생물과 함께 24시간 액침 발표 후 햇빛에 자연 건조를 통해 생산되었으며 패션프루트 , 망고 스틴 맛을 띄는 커피","For a cup of El Diviso Sidra Natural, coffee cherries that have undergone 36 hours of oxidisation are put under 48 hours of anaerobic fermentation. After 24 hours of submerged fermentation with the microorganisms obtained through the processes above, the beans are naturally sundried. The coffee boasts flavors of passionfruits and mangosteens.",139
"특별한 날 특별한 상 우리의 음식 , 한우갈비 1900년대 이전에는 갈비를 짝으로만 팔았기 때문에 큰 잔치가 아니면 먹기 어려웠던 귀한 음식이었습니다 . 그시절 그때의 잔칫상에 올리는 즐거운 마음으로 짝갈비를 직접 손수작업하여 손님 상에 올립니다 .","A special day, a special meal, Korean traditional meal, Korean Beef Ribs Before the 1900s, beef ribs were only sold in bulk, so it was hard to see them other than grand party tables. With a hearty mind preparing for a party, we directly work on the ribs to serve them to our customers.",139
"나주 밀양 박씨 종가에서는 오동잎이 떨어지는 11월에 담아 보름 이상의 발효 숙성을 거쳐 동지 무렵에 상차림에 항상 올라온 남파고택만의 내림 김치입니다 . 통배추에 사과 , 배 , 밤 등 15가지 재료가 들어가 개운하고 시원한 맛이 특징입니다 .","A special traditional dish of Nampa House. The Park head family of Milyang, Naju, make the kimchi in October, when the paulownia leaves fall. The kimchi has always been served near the winter solstice after a fermentation process that takes over a fortnight. By adding 15 ingredients, such as apples, pears, chestnuts, etc, with whole cabbages, the kimchi is known for its refreshing and spicy taste.",137
"문셰프의 제주밥상은 서양요리와 한국요리의와 함께하는 5코스요리입니다 . 전체요리 , 생선코스 , 수프코스에 칼국수 , 샐러드에는 맛의 방주에 등록된 꿩엿 , 뎅유자청 , 푸른콩장으로 만든 드레싱 , 메인요리에는 흑돼지 , 소고기 함께 합니다 .","Chef Moon's Jeju Chef Special is a five-course meal where you can enjoy both Western and Korean dishes. Complementary Noodle Soup with all meals, fish courses, and soup courses. The salad dishes use Pheasant Syrup, an ingredient enlisted on the Ark of Taste, Dangyuja Marmalade, and a dressing made with green soybean paste. The main dishes use Black Pork and Beef.",136
"매우 단단하고 잘 짜여진 구조를 가지고 있는 와인으로 입안에서는 풍만하면서도 둥글게 모아지는 느낌을 찾을 수 있습니다 .잘 익어 즙이 풍부한 배를 비롯한 열대과일 , 넛맥 , 헤이즐넛과 약간 스파이시한 느낌의 오크 풍미도 맛볼 수 있습니다 .","A wine with a strong and tight structure, that delivers a full yet rounded feeling in the mouth. Not only can you find notes of tropical fruits such as ripe, juicy pears, but also nutmeg, hazelnut, and a spicy oak note.",135
' O mai 오마이 '는 베트남어로 달콤하고 맛있다는 뜻이며 오마이포는 매일 매장에서 신선하고 풍부한 재료로 직접 정성스럽게 끓인 비법고기육수를 만듭니다 . 오마이포는 고객님들께 맛있고 건강한 음식을 제공드리기 위해 늘 노력하겠습니다 .,""" O mai "" means ""sweet and delicious"" in Vietnamese. In O MAI PHO, we lovingly prepare our special meat broth which uses our special recipe with fresh and hearty ingredients sourced from local markets every day. O MAI PHO will always do its best to bring delicious and healthy dishes to your table.",133
"여우 윙키가 카드를 만들 때 필요한 재료를 찾고 , 완성한 카드를 보내러 우체국에 가려면 길을 하나로 잘 연결하고 올바른 방향으로 이동 해야 해요 . 길 의 방향과 순서를 찾는 길 찾기 알고리즘을 통해 문제 해결 능력을 키워 보세요 !","For Winky the Fox to find the necessary materials and get to the post office to send the finished card, we need to lead him to a right direction by connecting the road in the right way. Try developing the ability to solve problems with this wayfinding algorithm of figuring out the direction and sequence of the road!",131
"더욱 진한 최상의 코코아와 화이트 초콜렛이 만나 더욱 부드럽고 깊은 맛이 특징입니다 . 부드럽게 녹아드는 화이트 초콜릿과 진한 코코아빵 , 달콤하고 상큼한 딸기잼의 조화로움을 느껴보세요 . ( 화이트 초코파이 10개 / 각 80g )","Mild and Deep Flavor based on more Intense Cocoa in best quality and White Chocolate

Please enjoy Harmony among mildly melt White Chocolate, Intense Cocoa Bread, sweet and sour Strawberry Jam ( White Choco Pie 10 pieces / 80g each )",130
"작업량과 가격에 비해 낮은 판매수율을 가진 짝갈비는 일반적으로 높은 가격에 판매되지만 명호마농갈비에서는 반찬간소화 , 직접발골 , 손질을 통한 비용 절감으로 1+등급 이상의 신선한 한우짝갈비를 부담없는 가격에 제공할 것을 약속드려요.","Compared to the high work load and low yields, the whole cow beef ribs are sold at a high price. At Myeongho Manong Galbi, we have cut down our prices through side dish simplification, direct deboning, and handling meat. We guarantee you not too steep prices for above Grade 1+ Korean Whole Cow beef ribs.",130
"앞으로는 바다가 보이고 뒤로는 산이 있는 시골 마을 동귀리 .그곳에서 나고 자란 부모님 밑에서 태어난 제게 동귀리는 언제나 풍요로움이 가득한 꿈 같은 곳 입니다 . 동귀리의 맛과 향을 "" 동귀리 갈칫집 "" 에 그대로 옮겨왔습니다 .","Donggwi-ri, a rural village where the ocean lies ahead and the mountain stands behind. Growing up with my parents, who have memories of Donggwi-ri with their childhood, Donggwi-ri is always a dreamlike, plentiful space for me. The tastes and scents of Donggwi-ri are replicated right here at ""Donggwi-ri Cutlassfish"".",129
"깊고 진한 선홍색을 띄고 자두 , 체리 , 라즈베리 시럽 같은 잘 익은 붉은 과실 에 담배 , 캔디 , 가죽 , 프렌치 배럴 12개월 숙성에서는 구운 아로마가 잘 어우러지고 입 안에서는 둥근 타닌과 큰 바디감이 느껴집니다 .","This wine boasts a deep and distinct dark red color . Notes of ripe red fruits such as plum , cherry , and raspberry , with tobacco , candy , leather notes are brought out through its 12-month French barrel aging process . A roasted flavor harmonizes well in the mouth , and with every mouthful you can feel a round tannin and a large body .",125
"깊은 제비꽃색을 띠고 체리와 같은 붉은 열매과일 , 초콜릿 , 담배향이 나며 입 에서는 Full - body한 느낌을 주면서도 , 둥글고 벨벳과 같은 식감과 바닐라와 토스트된 느낌이 감돌면서 길고 스무드한 피니시를 줍니다 .","The drink boasts a deep purple hue and contains red fruit notes such as cherries , chocolate notes, and tobaco notes. The wine gives a full-bodied sensation in the mouth, with a round, velvet texture, and a toasted vanilla, ultimately delivering a long and smooth finish.",125
1년 미만의 어린 양 한마리에서 2%밖에 나오지 않는 최상의 특수 부위 ' 프렌치렉 ' 과 항공으로 공수한 ' 생양갈비 ' 와 ' 생양등심 ' 을 양파이만의 가니쉬로 토마토 파인애플 치즈 퐁듀 등과 함께 즐기는 콤보 메뉴,"A combo menu with 'French Rack,' a special cut where only 2% of a lamb less than a year old is extracted, unfrozen 'Fresh Lamb Chops,' and 'Fresh Lamb Sirloin' are served with tomatoes, pineapple, and cheese fondue as YANGPAI's signature garnish",123
"가브리살 ( 특수부위 ) 이 포함되어 살코기와 고급 지방이 고르게 분포된 고급 부위 ,육 향이 고소 하고 육즙 이 가득 해 촉촉 하면서 쫄깃 하고 ,특상 로스 는 익 혔을 때도 전체적으로 선홍빛이 도는 것이 특징입니다 .","Includes the Blade-end Fatback (special cut), a cut of meat with an even distribution of meat and fat. The cut is known for its savory meat fragrance, and is chewy and moist due to its overflowing juices. The Special Pork Sirloin is known to retain an overall pink color even when cooked.",123
PNB의 베스트셀러 초코파이와 바삭하고 부드러운 식감의 전병으로 구성된 세트입니다 ( 땅콩전병 ( 270g ) 1개 / 깨전병 ( 260g ) 1개 / 생강전병 ( 270g ) 1개 / 초코파이 ( 80g ) 5개 ),"Our Best Seller Choco Pie and Senbei with crispy, mild texture ( Peanut Senbei ( 270g ) 1p / Sesame Senbei ( 260g ) 1p / Ginger Senbei ( 270g ) 1p / Moonpie ( 80g ) 5p )",121
"사르르플레인 , 리얼초코쿠키 , 아몬드쿠키 , 사르르 딸기쿠키 , 피칸쿠키 , 녹차쿠키 , 사르르커피쿠키 , 깨기둥 , 아몬드 와다닥 , 코코넛 와다닥 , 피칸이 와다닥 각 4개씩 개별포장 되어 있는 세트 상품입니다","Cookie set of individually wrapped cookies with 4 each of Snow Cookie Plain, Real Chocolate Cookie, Almond Cookie, Snow Cookie Strawberry, Pecan Cookie, Green Tea Cookie, Snow Cookie Coffee, Wadadak Sesame, Wadadak Almond, Wadadak Coconut, and Wadadak Pecan.",120
"한국 코스닥 상장 기업인 플리 토는 인공지능 기술과 플랫폼을 통해 OCR, nMT, Inpainting을 진행하여 실시간으로 정확한 번역 결과를 전달하고, 이 과정에서 언어 데이터를 수집하여 고객사에 제공합니다 .","Flitto, a KOSDAQ-listed company in Korea, uses OCR, nMT, and Inpainting to deliver accurate real-time translation results to customers through its AI technology and platform. In this process, the company collects language data and provides them to client companies. ",119
"한우짝갈비란 한우 양쪽 갈비대를 말하며 발골 과정 중 가장 까다롭지만 최상의 맛을 가진 본갈비살 , 업진살 , 꽃갈비살 ( 살치살 ) ,안창살을 포함하고 있어요. 안창살만 따로 팔고 나머진 다 그냥 썰어드릴게요 .","Korean Whole Cow Beef Ribs refers to the two side ribs of Korean beef. It is the most difficult part of meat to debone, but it contains the best tasting meat: Ribs, Short Plate, Short Ribs (Chuck Flap Tail), and Thin Skirt. Apart from the thin skirt, the rest will be cut up and given to you.",119
대표적인 아메리칸 이탈리안 음식으로 뉴욕 타임즈에 소개 된 레시피에 따라 만들었 습니다 .부드럽게 두드린 닭 가슴살을 파마산 치즈로 맛을 내 튀긴 후 토마토 와 양파가 들어간 칠리 소스 등과 같이 제공 됩니다 .,A representative American-Italian dish made with the recipe in the New York Times. Chicken breasts are softly pounded and added flavors with Parmesan cheese. They are then fried and served with chili sauce with tomatoes and onions.,118
"풍부한 과일향으로 어린 빈티지의 즐거운 느낌이 나는 특징이 있는 와인입니다 .모카와 라스베리향이 느껴져 깊은 느낌의 와인이고 , 12개월간 오크통에서 숙성되어 , 부드러운 텍스쳐에 튼튼한 구조감이 인상적입니다 .","A wine that's known for its plenty fruit notes, delivering the joyous feeling of a young vintage . The wine's mocha and raspberry notes add depth to the wine's flavor , and since the 12 months of the wine's aging process in an oak barrel provides a smooth texture and a sturdy structure for the wine.",118
"두툼한 수제 패티에 아메리칸 치즈를 한장 , 두장 , 세장 .... 여기에 베이컨, 토마토 , 볶은 양파와 양송이를 더하여 특제 소스와 함께 브리오슈번에 넣었습니다. 감자튀김과 신선한 샐러드가 함께 제공됩니다.","One, two, three... and more slices of American cheese on our house-made thick patties... The patties are served with bacon, tomato, sautéed onions and mushrooms, with a special sauce inside a brioche bun. It is served with French Fries and fresh salad.",117
"파리에서 브레스트까지 왕복하는 자전거 경주를 기념해 만든 디저트 .자전거 바퀴를 연상시키는 링 모양의 샌드크림이 특징이며 , 견과류의 고소함 과 카라멜의 달콤함 , 버터의 묵직한 풍미를 느낄 수 있는 슈과자 .","Dessert of Commemoration for the Cycling Race from Paris to Brest. Choux Dessert with Ring-shaped Sand Cream reminding Bicycle Wheels, Savory Nuts and Sweet Caramel, Deep Flavor of Butter",117
"강한 블랙베리향과 순수한 90%이상의 카카오가 함유된 초콜릿향을 느낄 수있습니다 . 입안에서 느껴지는 서양자두 , 가시덤불향 , 농밀한 검은 과일향이 전형적인 바로사밸리 쉬라즈의 풍부한 아로마를 드러냅니다 .","The drink gives out strong notes of blackberry and pure chocolate with over 90% of cacao content . Notes of plums , thistles , and ripe black fruit in the mouth combine to reveal a typical full aroma of Barossa Valley's Shiraz grapes.",116
"남파고택은 9대손이 온기를 이어오며 근현대 유물과 한국 근현대사를 읽을 수 있는 공간으로 ,한식당 , 박물관과 체험관 건립을 통해 종가 문화를 계승하고 이를 널리 알리기 위해 최선의 노력을 다하고 있습니다 .","The Nampa Historic House is a place where nine generations have continued on their warm hearts, and a place where you can peruse modern artifacts and modern Korean history. By building a Korean restaurant, museum, and experience zones, the establishment is concentrated on its efforts to succeed the head family's traditional culture and spread it wide and far.",116
제주도내 하루 10두 이내의 적은 도축수량 중 오직 1+ 이상의 한우짝갈비만 엄선하여 판매해요. 35KG 가량의 엄선된 한우 짝갈비를 직접 발골 손질하여 특별한 30년비법의 제주산 마늘양념으로 풀어봤어요 .,"We will only select and sell Korean Whole Cow Beef Ribs of 1+ grade or higher from a small quantity of less than 10 cows per day that are slaughtered in Jeju Island. The carefully selected beef ribs, which are in total about 35kg, are directly prepared and seasoned with a special 30-year-old secret Jeju garlic sauce.",115
문경에서 자라 당도 높은 사과를 착즙하고 발효하여 1차 2차 증류하고 문경 전통도자기에서 300일간 숙성한 프리미엄 증류주입니다 .부드러운 목넘김에 이어 사과향과 민트향의 여운이 입안에 오래 지속됩니다 .,"It is a premium distilled liquor, made with extracting and fermenting highly sweet apples from Mungyeong, undergoing primary and secondary distillation, and finally aging it in traditional Mungyeong ceramics for 300 days. With a smooth swallow, the drink leaves lingering notes of apples and mints in the mouth.",114
"직접 우려낸 육향이 진하게 감도는 육수와 메밀 함량 높은 자가 제면으로 ,매끈하게 넘어가는 식감이 일품입니다 . 많은 고객님들께서 감탄해 주셨던 미미담 육수를 더한 시원하고 맛있는 평양냉면으로 깔끔한 한끼","The dish boasts a smooth taste, with housemade broth with deep meat flavors and housemade noodles with high buckwheat contents . MIMIDAM's acclaimed broth in a colder and tastier Pyeongyang-style Cold Buckwheat Noodles, a meal with a clean aftertaste",114
"밝고 고운 루비 색상을 띠며 잘 익은 버찌 , 라스베리와 약간의 스모크향을 느낄 수 있습니다 . 탄닌의 느낌은 떫다기 보다는 섬세하게 느껴지며 조화롭게 화합하는 다채로운 맛을 느낄 수 있는 와인입니다 .","The drink is in the shade of a bright and smooth ruby , and contains ripe cherry , raspberry notes and a hint of smoke . Its tannin feel delicate rather than astrigent , and the drink delivers a harmonious combination of colorful tastes .",113
"인기품목 8가지로 구성된 가족단위 즐기기 좋은 고급 선물 세트 입니다 ( 땅콩 와다닥 , 아몬드 와다닥 , 피칸 와다닥 , 코코넛 와다닥 , 깨기둥 , 검은깨 강정 , 아몬드 튀일 , 해바라기씨 튀일 )","A luxury gift set composed of 8 popular crispy wafers recommended for a family. ( Wadadak Peanut , Almond Wadadak , Wadadak Pecan , Wadadak Coconut , Wadadak Sesame Seeds , Black Sesame Seeds , Almond Tuile , Sunflower Seed Tuile )",113
"부타이만의 방식으로 재해석한 마제소바 . 19가지 재료가 들어간 비빔 소스와 10가지 고명의 조화로 감칠맛이 일품인 비빔면으로 , 추가된 항정살의 고소한 기름이 마제소바의 풍미를 한층 더 올려줍니다 .","A Maze Soba reinterpreted in Butai's special method. With a mixing dressing containing 19 ingredients, and the harmony of 10 different types of garnishes, the noodles boast their savoury flavor.",112
손이 더러울 때는 어떻게 해야 할까요 ? 각각의 상황에서 우리 몸을 깨끗하게 하는 물건을 찾아야 해요 . 주어진 정보를 바탕으로 상황을 이해하고 판단하는 추론 과정에서 논리력과 창의력이 커질 거예요 !,"What should we do when our hands become dirty? We need to find the things that can cleanse our body in different situations. While we try to use our inference to understand a situation and make decisions based on the information given to us, we can upgrade our ability to be logical and creative!",112
코끼리 엘리가 운동 도구를 찾으려면 길을 하나로 잘 연결해야 해요 . 어떤 동작이 반복 되는지 살펴 보고 전체 순서도 파악해 보세요 . 길 찾기와 반복 알고리즘을 통해 문제 해결 능력을 키워 보세요 !,"For Elly the Elephant to find her exercise equipment, we need to connect the road in one right way. Find out which movements are repeated and try to figure out the overall sequence. Try developing the ability to solve problems with this wayfinding and repetition algorithm!",112
"저희 음식은 주문과 동시에 조리가 시작되므로, 빠른 시간안에 제공해드리기는 조금 어렵습니다 .가장 맛있는 상태로 제공해 드리기위해 최대한 빨리 서두르고 있으니 , 조금만 여유를 갖고 기다려 주세요 .","Our food is prepared immediately upon order, and it might take a moment to prepare the dish to be served. We are doing our best to bring you the dishes as soon as we can at their tastiest state. We hope for your kind understanding, and thank you for your patience.",111
크랜베리 와 블랙 베리 를 넣어 만든 새콤 달콤한 팬케익 에 특제 라즈베리 휘핑 크림 을 더하고 거기 에 바닐라 아이스크림 까지 ..상담 한 디저트 용 팬케익 의 완성작 으로 손색 없는 메뉴 .,"On top of sweet and sour pancakes with cranberry and blackberry, a special raspberry whipped cream is applied on top, together with vanilla ice cream... This menu is the flawless, perfect version of a sweet and sour dessert pancake.",108
"비에티 모스카토 다스티의 포도는 카스틸리오네 지역의 작은 포도밭에서 생산됩니다 . 포도나무의 평균 수령은 약 40년 정도이며 , 수확 후 최고의 포도만 선별하여 모스카토 다스티로 출시됩니다 .","The grapes for Vietti Moscato d'Asti are produced from a small vineyard in Castiglione. Each vine is approximately 40 years old, and the best of the best grapes after harvest are produced into Moscato d'Asti.",107
카드를 종류에 따라 분류해 보세요 . 또 정리된 카드 중에 잘못 들어간 다른 카드 하나를 찾아 보세요 .다양한 기준에 따라 데이터를 정리하고 내용을 분석하며 컴퓨팅 사고력을 키울 수 있어요 .,"Try to arrange the cards by their types. Afterwards, try to find a misplaced card within an arranged set of cards. You can develop your computing skills by arranging data and analyzing its content based on various standards.",107
커피를 재배하기에 아주 적합한 기후를 가지고 있는 벤사의 케라모 지역 에서 생산된 커피로 에티오피아에서도 손꼽히는 고지대로 밀도가 높은 생두를 생산하고 아주 진하고 선명한 향미를 보여주는 커피,"This coffee was produced in the Keramo village of the Bensa region, which has the perfect climate for cultivating coffee beans. The region is known to be one of Ethiopia's highest highlands, and produces high-density coffee beans with deep and distinct scents.",107
"부드러움으로 유명한 부위 출산을 한번도 하지 않은 어린 암소만 사용하며 ,경상도 지역에서 자란 1년 미만의 어린 암소로 대한민국 1% 귀한 한우입니다 . 한와담의 손길로 더욱 특별합니다 .",This cut is well-known for its tenderness. The meat is from female calves from Gyeongsang-do Province less than one year old that have never given birth. It is the rarest 1% of all Korean beef. Made special with the touch of HANWADAM .,105
오제제에서는 여러 과정의 테스트를 마친 후 합격한 선별된 돼지고기를 사용하고 있습니다 .전문적인 과정을 거쳐 숙성 돈가츠를 만듭니다 . 소스와 밥 국 모든 음식을 직접 만들어 제공합니다 .,"Ojeje uses selected pork that has passed multiple levels of evaluations. Our aged pork cutlet is created through professional processes. All dishes, including sauce, rice, soup, and others, are cooked by hand in house.",105
"인기품목 4가지로 구성된 고즈넉한 전통 무늬가 들어간 쇼핑백과 와인박스를 연상케 하는 케이스에 포장된 고급 선물 세트입니다 ( 아몬드 튀일 , 해바라기씨 튀일 , 깨기둥 , 땅콩 와다닥 )","A luxury gift set composed of 4 popular crispy wafers in a wine-box-looking case and shopping back with gorgeous Korean traditional patterns. ( Almond Tuile , Sunflower Seed Tuile , Wadadak Sesame Seeds , Wadadak Peanut )",105
"제주 돼지의 오겹살과 덜미살 뿐만 아니라 돼지 한 마리에서 1%만 생산되는 우대갈빗살 ,뽈살 , 두항정살을 옛 도감의 방식으로 삶아 각각의 부위의 색다른 식감과 맛을느껴보실 수 있습니다 .","You can taste the different texture and taste of each pork cut steamed in the only Dogam methods. The dish contains not only Skin-on Pork Belly and Pork Neck, but also the Pork Ribs, Cheeks, and Pork Neck near the Head, the cuts that are produced only 1% from a single pig.",105
