filename,rule_based,learning_based
0418,0.6692,0.5434
0419,0.4432,0.3896
0420,0.6083,0.6056
0421,0.4573,0.6115
0422,0.7475,0.7571
0423,0.7485,0.655
0424,0.8137,0.7082
0425,0.6856,0.6317
0426,0.6342,0.4837
0427,0.5172,0.6281
0428,0.6165,0.5427
0429,0.7513,0.4951
0430,0.6451,0.593
0431,0.5766,0.5512
0432,0.3725,0.62
0433,0.6055,0.6703
0434,0.7224,0.6466
0435,0.5415,0.657
0436,0.612,0.6106
0437,0.5606,0.557
0438,0.6257,0.6354
0439,0.8335,0.6587
0440,0.7558,0.5531
0441,0.7982,0.6511
0442,0.4031,0.4311
0443,0.5981,0.552
0444,0.2345,0.3682
0445,0.6844,0.6177
0446,0.5859,0.3382
0447,0.2799,0.4415
0448,0.3668,0.3094
0449,0.4584,0.4803
0450,0.5258,0.4607
0451,0.4962,0.4369
0452,0.8834,0.6341
0453,0.4936,0.455
0454,0.7061,0.4676
0455,0.7977,0.4957
0456,0.8857,0.6355
0457,0.6988,0.6135
0458,0.9272,0.6177
0459,0.834,0.6439
0460,0.9512,0.7659
0461,0.9284,0.6572
0462,0.8073,0.6234
0463,0.6735,0.7712
0464,0.5653,0.5713
0465,0.3002,0.598
0466,0.4865,0.3542
0467,0.4326,0.7951
0468,0.9591,0.6284
0469,0.7995,0.6786
0470,0.5694,0.6578
0471,0.7945,0.6418
0472,0.8121,0.6425
0473,0.8012,0.7496
0474,0.9348,0.7607
0475,0.7451,0.7576
0476,0.4521,0.3189
0477,0.4074,0.4291
0478,0.458,0.5098
0479,0.6949,0.6462
0480,0.7317,0.6304
0481,0.9058,0.6407
0482,0.2085,0.6821
0483,0.2488,0.6351
0484,0.6719,0.6463
0485,0.4409,0.8151
0486,0.6955,0.6955
0487,0.271,0.6337
0488,0.4493,0.4121
0489,0.2479,0.3721
0490,0.4681,0.5759
0491,0.4361,0.3994
0492,0.6434,0.5988
0493,0.3386,0.404
0494,0.8846,0.5988
0495,0.3613,0.4232
0496,0.2076,0.4621
0497,0.8364,0.5871
0498,0.3767,0.2871
0499,0.4214,0.421
0500,0.8757,0.7334
0501,0.8925,0.6757
0502,0.8564,0.6831
0503,0.7796,0.6769
0504,0.4378,0.6202
0505,0.6744,0.6766
0506,0.6828,0.6508
0507,0.6592,0.6126
0508,0.7032,0.5766
0509,0.598,0.6492
0510,0.6571,0.571
0511,0.5973,0.5175
0512,0.5836,0.5258
0513,0.5444,0.4807
0514,0.6501,0.5884
0515,0.413,0.5223
0516,0.61,0.6553
0517,0.595,0.5696
0518,0.5528,0.5212
0519,0.5286,0.6139
0520,0.5799,0.5942
0521,0.6866,0.5239
0522,0.6203,0.7215
0523,0.7055,0.535
0524,0.2498,0.2138
0525,0.6176,0.5366
0526,0.7056,0.4625
0527,0.2748,0.3337
0528,0.6254,0.5528
0529,0.5373,0.5761
0530,0.5728,0.4941
0531,0.8364,0.6676
0532,0.5709,0.5245
0533,0.6998,0.3691
0534,0.8242,0.5654
0535,0.383,0.4289
0536,0.8431,0.6466
0537,0.3906,0.3536
0538,0.5426,0.4917
0539,0.356,0.3332
0540,0.7441,0.5162
0541,0.3483,0.3451
0542,0.3186,0.3758
0543,0.8448,0.4207
0544,0.5218,0.1778
0545,0.3539,0.5082
0546,0.5239,0.344
0547,0.5841,0.6258
0548,0.7367,0.5321
0549,0.5236,0.3405
0550,0.2718,0.3681
0552,0.2909,0.4985
0555,0.2548,0.6108
0556,0.3842,0.4174
0557,0.2993,0.272
0558,0.1811,0.2758
0559,0.4084,0.3511
0560,0.4734,0.5776
0561,0.6852,0.6322
0562,0.2519,0.2116
0564,0.3104,0.3448
0568,0.0532,0.0679
0569,0.7312,0.3443
0570,0.9324,0.768
0571,0.2007,0.4213
0572,0.4348,0.5689
0573,0.8788,0.6801
0574,0.7351,0.7622
0575,0.606,0.3097
0576,0.8996,0.7531
0577,0.6172,0.6005
0578,0.3849,0.3169
0579,0.4931,0.4896
0580,0.2745,0.5763
0581,0.0069,0.0231
0582,0.2,0.2141
0583,0.0958,0.2699
0584,0.1579,0.4487
0585,0.4938,0.5632
0586,0.7273,0.7042
0587,0.5822,0.4432
0588,0.5695,0.6196
0589,0.6257,0.6305
0590,0.2031,0.2202
0591,0.17,0.3172
0592,0.2746,0.472
0593,0.4461,0.5525
0594,0.7534,0.6801
0595,0.6467,0.637
0596,0.851,0.605
0597,0.7487,0.7493
0598,0.5264,0.5567
0599,0.8331,0.6498
0600,0.7358,0.7384
0601,0.8004,0.6472
0602,0.828,0.5165
0603,0.8402,0.5561
0604,0.77,0.6141
0605,0.7874,0.5969
0606,0.8971,0.6018
0607,0.9094,0.5661
0608,0.5306,0.611
0609,0.9185,0.681
0610,0.9044,0.6568
0611,0.7609,0.5059
0612,0.7469,0.6143
0613,0.9238,0.7405
0614,0.9434,0.7592
0615,0.2356,0.3841
0616,0.627,0.6007
0617,0.5,0.3672
0618,0.3868,0.3553
0619,0.6885,0.614
0620,0.6043,0.521
0621,0.5225,0.4658
0622,0.6531,0.6601
0623,0.3028,0.6707
0624,0.5931,0.6127
0625,0.5399,0.4743
0626,0.6866,0.5726
0627,0.2013,0.3474
0628,0.5564,0.5616
0629,0.5945,0.5963
0630,0.9327,0.7195
0631,0.2818,0.2837
0632,0.5178,0.3785
0633,0.7615,0.5371
0634,0.6263,0.4363
0635,0.521,0.5062
0636,0.6373,0.6337
0637,0.334,0.658
0638,0.856,0.6146
0639,0.3884,0.3861
0640,0.9223,0.6982
0641,0.2957,0.3967
0642,0.6816,0.7008
0643,0.4398,0.4774
0644,0.5903,0.623
0645,0.8513,0.6476
0646,0.8858,0.7516
0647,0.9026,0.704
0648,0.8897,0.6994
0649,0.9165,0.7358
0650,0.8996,0.7379
0651,0.9234,0.6558
0652,0.8745,0.6563
0653,0.892,0.74
0654,0.9132,0.694
0655,0.8672,0.6888
0656,0.8728,0.741
0657,0.8581,0.6605
0658,0.8824,0.718
0659,0.9466,0.7225
0660,0.8511,0.6203
0661,0.7778,0.6539
0662,0.5867,0.6049
0663,0.7635,0.6369
0664,0.5211,0.429
0665,0.778,0.6404
0666,0.5773,0.6002
0667,0.8117,0.6592
0668,0.8607,0.6906
0669,0.865,0.6404
0670,0.6726,0.6586
0671,0.8249,0.7367
0672,0.6776,0.6926
0673,0.7614,0.769
0674,0.7319,0.6211
0675,0.8273,0.6464
0676,0.8257,0.6406
0677,0.8481,0.6093
0678,0.8623,0.6462
0679,0.8821,0.5918
0680,0.9047,0.5925
0681,0.6558,0.6597
0682,0.899,0.6898
0683,0.9172,0.6749
0684,0.9068,0.7086
0685,0.8631,0.6635
0686,0.8837,0.6758
0687,0.9037,0.7045
0688,0.9058,0.6164
0689,0.523,0.4213
0690,0.8887,0.6736
0691,0.4689,0.5171
0692,0.3236,0.6224
0693,0.5387,0.4261
0694,0.5197,0.4471
0695,0.8931,0.6308
0696,0.8475,0.6306
0697,0.5943,0.6175
0698,0.5222,0.438
0699,0.8705,0.7348
0700,0.9238,0.7616
0701,0.8368,0.6247
0702,0.8432,0.6068
0703,0.5647,0.604
0704,0.6501,0.6256
0705,0.8289,0.6745
0706,0.2346,0.6709
0707,0.1212,0.5027
0708,0.3392,0.6
0709,0.7636,0.6479
0710,0.7231,0.6131
0711,0.7217,0.5484
0712,0.6852,0.6556
0713,0.891,0.7151
0714,0.7565,0.695
0715,0.7263,0.6568
0716,0.6788,0.6789
0717,0.8314,0.7547
0718,0.4976,0.5856
0719,0.5087,0.4645
0720,0.2902,0.1208
0721,0.6328,0.4364
0722,0.5231,0.4448
0723,0.6916,0.7108
0724,0.2947,0.558
0725,0.5113,0.5421
0726,0.9147,0.7082
0727,0.7583,0.6226
0728,0.8777,0.7051
0729,0.835,0.3827
0730,0.8623,0.5808
0731,0.6716,0.7063
0732,0.1636,0.6883
0733,0.5815,0.5845
0734,0.6466,0.7383
0735,0.4827,0.3949
0736,0.4005,0.3466
0737,0.9016,0.69
0738,0.6486,0.6564
0739,0.7142,0.716
0740,0.718,0.6982
0741,0.8831,0.6842
0742,0.8723,0.6398
0743,0.5024,0.7605
0744,0.6971,0.7098
0745,0.6315,0.6652
0746,0.874,0.6549
0747,0.7954,0.6727
0748,0.4829,0.4732
0749,0.3888,0.6028
0750,0.5916,0.6196
0751,0.2839,0.3051
0752,0.4532,0.4322
0753,0.5383,0.5297
0754,0.4346,0.3908
0755,0.3445,0.5986
0756,0.3493,0.3489
0757,0.3736,0.5227
0758,0.165,0.4063
0759,0.5529,0.5497
0760,0.7336,0.6804
0761,0.3915,0.4131
0762,0.3508,0.5592
0763,0.6434,0.5949
0764,0.2312,0.2941
0765,0.6268,0.5557
0766,0.3139,0.5566
0767,0.3237,0.342
0768,0.7629,0.5908
0769,0.9105,0.7273
0770,0.8172,0.6337
0771,0.6245,0.6524
0772,0.4239,0.5895
0773,0.3889,0.6045
0774,0.636,0.5528
0775,0.7261,0.5813
0776,0.3428,0.6147
0777,0.2872,0.4069
0778,0.2637,0.4546
0779,0.5454,0.4333
0780,0.6387,0.6065
0781,0.7429,0.5221
0782,0.6666,0.5817
0783,0.2292,0.5779
0784,0.6752,0.7403
0785,0.4994,0.5068
0786,0.4794,0.3709
0787,0.3819,0.5656
0788,0.6704,0.6373
0789,0.8188,0.5648
0790,0.483,0.4056
0791,0.3741,0.3795
0792,0.2559,0.6208
0793,0.7063,0.678
0794,0.6662,0.7714
0795,0.9171,0.7506
0796,0.3769,0.638
0797,0.8593,0.6572
0798,0.8047,0.576
0799,0.3312,0.595
0800,0.7846,0.7856
0801,0.6353,0.5838
0802,0.7433,0.7494
0803,0.7487,0.6783
0804,0.7517,0.6564
0805,0.6251,0.5836
0806,0.5547,0.6449
0807,0.9503,0.6301
0808,0.4993,0.5686
0809,0.8439,0.8165
0810,0.7233,0.6136
0811,0.8036,0.5864
0812,0.9412,0.7347
0813,0.6491,0.6179
0814,0.5862,0.5619
0816,0.3378,0.7525
0817,0.8122,0.6237
0818,0.2447,0.3374
0819,0.432,0.631
0821,0.8316,0.6839
0822,0.8934,0.6374
0823,0.8383,0.5637
0824,0.6771,0.7644
0825,0.8747,0.6362
0826,0.2869,0.4806
0827,0.3299,0.4932
0828,0.7468,0.6119
0830,0.1962,0.1953
0831,0.3944,0.4393
0832,0.4222,0.3553
0833,0.5294,0.3912
0834,0.3996,0.5264
0835,0.4574,0.4822
0836,0.5402,0.5007
0837,0.3684,0.4225
0839,0.4137,0.2803
0840,0.1707,0.2837
0841,0.4216,0.2727
0842,0.1475,0.2996
0843,0.2546,0.3958
0844,0.4766,0.3616
0846,0.6465,0.5179
0847,0.4985,0.4449
0848,0.21,0.2495
0849,0.2658,0.4901
0850,0.6332,0.7118
0852,0.547,0.5508
0853,0.5312,0.5934
0854,0.643,0.5257
0856,0.2859,0.6384
0857,0.4571,0.533
0858,0.4338,0.388
0859,0.4319,0.4769
0860,0.2356,0.3935
0861,0.1231,0.2513
0862,0.302,0.2435
0863,0.1131,0.2861
0864,0.3549,0.2852
0865,0.2631,0.1312
0866,0.2386,0.6707
0867,0.2014,0.1876
0868,0.3386,0.5849
0869,0.2095,0.3862
0870,0.2675,0.4203
0871,0.3034,0.4393
0872,0.3411,0.2724
0873,0.4385,0.5851
0874,0.327,0.377
0875,0.2307,0.4114
0876,0.5924,0.5211
0877,0.2765,0.3919
0878,0.715,0.5184
0879,0.4616,0.3931
0880,0.389,0.3728
0881,0.183,0.3077
0882,0.4065,0.6842
0883,0.7754,0.723
0884,0.4304,0.461
0885,0.8229,0.6163
0886,0.7149,0.63
0887,0.4589,0.5997
0888,0.2663,0.7117
0889,0.7358,0.7513
0890,0.8587,0.6883
0891,0.899,0.7091
0892,0.6713,0.5423
0893,0.2919,0.5298
0894,0.5143,0.5934
0895,0.6615,0.4892
0896,0.2445,0.6457
0897,0.4945,0.4466
0898,0.6651,0.7119
0899,0.7167,0.658
0900,0.7048,0.6314
0901,0.7184,0.575
0902,0.415,0.5648
0903,0.3732,0.5493
0904,0.3945,0.4611
0905,0.9307,0.6206
0906,0.7937,0.5444
0907,0.7439,0.4568
0908,0.7329,0.7066
0909,0.9078,0.5564
0910,0.7486,0.7818
0911,0.6218,0.48
0912,0.5635,0.6769
0913,0.7578,0.7257
0914,0.8925,0.6087
0915,0.6766,0.6079
0916,0.892,0.6038
0917,0.6652,0.6862
0918,0.7839,0.7213
0919,0.8957,0.6041
0920,0.38,0.6722
0921,0.7386,0.4664
0922,0.7916,0.7351
0923,0.5899,0.7003
0924,0.2182,0.6881
0925,0.7939,0.7214
0926,0.7172,0.7639
0927,0.8757,0.6534
0928,0.8737,0.6005
0929,0.7378,0.4685
0930,0.3945,0.5852
0931,0.692,0.6988
0932,0.9182,0.5526
0933,0.4791,0.4877
0934,0.8627,0.7696
0935,0.869,0.7176
0936,0.8287,0.545
0937,0.6396,0.7368
0938,0.2794,0.4774
0939,0.5906,0.454
0940,0.3435,0.5544
0941,0.7277,0.665
0942,0.3479,0.5285
0943,0.7335,0.7187
0944,0.7173,0.7037
0945,0.7691,0.7288
0946,0.7199,0.7094
0947,0.5639,0.4192
0948,0.4207,0.6655
0949,0.622,0.5377
0950,0.6288,0.6555
0951,0.715,0.5447
0952,0.8654,0.4444
0953,0.7141,0.637
0954,0.5747,0.745
0955,0.4986,0.4438
0956,0.8877,0.6063
0957,0.8581,0.3736
0958,0.7673,0.7225
0959,0.7692,0.6384
0960,0.6587,0.436
0961,0.7589,0.5776
0962,0.6609,0.5462
0963,0.7931,0.5621
0964,0.7962,0.5202
0965,0.9171,0.6968
0966,0.9337,0.7017
0967,0.9327,0.7104
0968,0.8961,0.717
0969,0.778,0.7732
0970,0.9046,0.695
0971,0.5279,0.4536
0972,0.8664,0.8695
0973,0.875,0.5917
0974,0.3156,0.5977
0975,0.902,0.665
0976,0.7707,0.7568
0977,0.3502,0.6081
0978,0.5762,0.5888
0979,0.7718,0.5927
0980,0.5988,0.5336
0981,0.8443,0.6322
0982,0.937,0.6473
0983,0.9072,0.7033
0984,0.4395,0.472
0985,0.55,0.5996
0986,0.6278,0.6222
0987,0.6017,0.3897
0988,0.8395,0.6431
0989,0.5926,0.4205
0990,0.5629,0.6332
0991,0.3213,0.7502
0992,0.6857,0.5566
0993,0.8592,0.6268
0994,0.8446,0.5101
0995,0.7234,0.7496
0996,0.4853,0.5074
0997,0.9112,0.6832
0998,0.3985,0.6443
0999,0.7084,0.5087
1000,0.8303,0.5682
1001,0.4957,0.511
1002,0.5948,0.3641
1003,0.6611,0.4322
1004,0.8133,0.5602
1005,0.6685,0.5143
1006,0.5835,0.4485
1007,0.6663,0.5683
1008,0.749,0.6558
1009,0.9167,0.6002
1010,0.8447,0.5133
1011,0.8325,0.6839
1012,0.5651,0.5126
1013,0.7104,0.7013
1014,0.5496,0.5444
1015,0.6072,0.5549
1016,0.9454,0.736
1017,0.7343,0.7027
1018,0.3452,0.5634
1019,0.6534,0.5094
1020,0.4374,0.4521
1021,0.5785,0.5948
1022,0.4085,0.6113
1023,0.8305,0.5938
1024,0.667,0.3978
1025,0.8018,0.6198
1026,0.5139,0.6443
1027,0.6135,0.5921
1028,0.6929,0.6134
1029,0.6671,0.5849
1030,0.6286,0.5493
1031,0.2877,0.3021
1032,0.8835,0.7201
1033,0.8402,0.7308
1034,0.6896,0.7128
1035,0.6839,0.6245
1036,0.584,0.6393
1037,0.4042,0.2931
1038,0.6671,0.4487
1039,0.7279,0.5144
1040,0.5909,0.6602
1041,0.397,0.6167
1042,0.6494,0.6856
1043,0.57,0.7455
1044,0.88,0.6338
1045,0.6376,0.6416
1046,0.4266,0.4857
1047,0.6217,0.5335
1048,0.7193,0.6507
1049,0.7062,0.7002
1050,0.2612,0.3375
1051,0.4577,0.6174
1052,0.5067,0.5429
1053,0.6232,0.437
1054,0.3343,0.4001
1055,0.6278,0.5542
1056,0.7192,0.3283
1057,0.8563,0.5561
1058,0.7424,0.6622
1059,0.7669,0.4969
1060,0.4015,0.7093
1061,0.4257,0.6458
1062,0.673,0.6433
1063,0.6344,0.5263
1064,0.9177,0.736
1065,0.2902,0.5954
1066,0.5668,0.5041
1067,0.1768,0.2628
1068,0.764,0.5035
1069,0.7255,0.6822
1070,0.5113,0.4118
1071,0.6848,0.6692
1072,0.714,0.6707
1073,0.611,0.6355
1074,0.8576,0.6565
1075,0.5652,0.5629
1076,0.7693,0.5368
1077,0.8636,0.6077
1078,0.8994,0.662
1079,0.8385,0.4068
1080,0.566,0.5676
1081,0.954,0.7473
1082,0.8771,0.7226
1083,0.8578,0.6302
1084,0.4575,0.7585
1085,0.4418,0.7645
1086,0.5998,0.6072
1087,0.5569,0.5867
1088,0.592,0.5211
1089,0.6279,0.5168
1090,0.5728,0.4613
1091,0.3426,0.6557
1092,0.8952,0.6663
1093,0.4671,0.5044
1094,0.8276,0.6505
1095,0.4515,0.5593
1096,0.9185,0.7403
1097,0.5002,0.4405
1098,0.6811,0.6988
1099,0.64,0.8214
1100,0.6449,0.5417
1101,0.6506,0.6793
1102,0.437,0.5751
1103,0.524,0.537
1104,0.6681,0.688
1105,0.6725,0.678
1106,0.5097,0.543
